mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Traditional DUC,SUCCESS,,Evaluation Summary / 全体,peak_state_space_transitions_stage_states,遷移数ピーク時の状態数,125431,states,中間状態空間ピーク遷移数を記録した段階における状態数。,2026-08-01-memory-v2,transitions.states.md_57a036afe77afa4f,評価サマリ,状態数,遷移数,,,,,状態数
Traditional DUC,SUCCESS,,Evaluation Summary / 結果,auto_63f2a5f5,比較用時間（合成全体-CountTime-描画）,1241664,ms,合成の全体時間 - 実測時間内のカウントによるオーバーヘッド - コントローラ描画時間。,2026-08-01-memory-v2,time.count_time.md_b0e1f5a3fb749149,評価サマリ,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,Evaluation Summary / GR(1),auto_4b2bdaf4,GR(1)合成時間,1014056,ms,final safety environment から GR(1) で controller を合成する時間。,2026-08-01-memory-v2,time.time.md_21e8075a9a7702e2,評価サマリ,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価出力時間,evaluation_output_header_time,評価ヘッダ出力時間,0,ms,通常表示では出力しない評価ヘッダ部分の時間。,2026-08-01-memory-v2,time.time.md_037b970ea36a2a50,評価出力時間,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価出力時間,evaluation_output_detailed_report_time,詳細評価レポート出力時間,0,ms,詳細評価レポート本文を Output に出す時間。デフォルトでは出力しない。,2026-08-01-memory-v2,time.time.md_d6737b58fe9c8d47,評価出力時間,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価出力時間,evaluation_output_summary_time,評価サマリ出力時間,2,ms,EVALUATION SUMMARY を Output に出す時間。,2026-08-01-memory-v2,time.time.md_090b6587417964fd,評価出力時間,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価出力時間,evaluation_output_overhead_before_csv,評価出力時間（CSV出力前まで）,2,ms,評価ヘッダ出力時間 + 詳細評価レポート出力時間 + 評価サマリ出力時間。CSV出力時間はCSV出力後に別途記録する。,2026-08-01-memory-v2,time.time.md_8cc063ceb67ab86b,評価出力時間,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,definition_prepare_total_time_scope_count_overhead_time,UpdatingControllersDefinition / compose の全体実行時間 / 評価用カウント時間,1,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_804871d2c63afc17,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,definition_prepare_total_time_time_without_scope_count_overhead,UpdatingControllersDefinition / compose の全体実行時間 / 評価用カウント時間除外後,1853,ms,definition_prepare_total_time - definition_prepare_total_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_29cc700b1e0e21c2,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_final_gr_input_construction_time_scope_count_overhead_time,Traditional DUC / GR(1)入力 safetyEnv 構築時間 / 評価用カウント時間,363,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_8bc979c69aeed165,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_final_gr_input_construction_time_time_without_scope_count_overhead,Traditional DUC / GR(1)入力 safetyEnv 構築時間 / 評価用カウント時間除外後,224794,ms,traditional_final_gr_input_construction_time - traditional_final_gr_input_construction_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_0fb3f69039a9c7ce,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,input_scale_summary_time_scope_count_overhead_time,UpdatingControllersDefinition / 入力規模集計時間 / 評価用カウント時間,188,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_69be6cb9ed976dd9,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,input_scale_summary_time_time_without_scope_count_overhead,UpdatingControllersDefinition / 入力規模集計時間 / 評価用カウント時間除外後,5,ms,input_scale_summary_time - input_scale_summary_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_097e479602c20ded,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,method_main_execution_time_scope_count_overhead_time,UpdatingControllerSynthesizer / Traditional solveControlProblem / OTF generateDUC 実行時間 / 評価用カウント時間,204,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_d6717e3bc7dbfec9,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,method_main_execution_time_time_without_scope_count_overhead,UpdatingControllerSynthesizer / Traditional solveControlProblem / OTF generateDUC 実行時間 / 評価用カウント時間除外後,1238243,ms,method_main_execution_time - method_main_execution_time_scope_count_overhead_time,2026-08-01-memory-v2,time.time.md_53a28b1e0eb642d9,評価用カウント時間 / 関数スコープ別,時間,時間,,,,,時間
Traditional DUC,SUCCESS,,評価用カウント時間 / 関数スコープ別,traditional_solve_control_problem_total_time_scope_count_overhead_time,solveControlProblem (Traditional DUC) / solveControlProblem 全体時間 / 評価用カウント時間,204,ms,この関数スコープが開いている間に、状態数・遷移数などの評価用カウントとして加算された時間。,2026-08-01-memory-v2,time.count_time.md_1b78c799b0da2109,評価用カウント時間 / 関数スコープ別,評価用カウント時間,時間,,,,,評価用カウント時間
